Generating simulation configurations...
Running 200 simulations...
16              12              individual      309                       25.7500                        1          41         7          2          4.2%
18              12              individual      300                       25.0000                        7          35         4          9          4.2%
18              10              individual      302                       30.2000                        2          41         1          9          4.3%
16              14              team            305                       21.7857                        28         15         0          8          4.3%
17              16              team            302                       18.8750                        38         5          3          8          4.3%
18              8               team            293                       36.6250                        20         25         1          4          4.5%
17              10              team            306                       30.6000                        1          45         2          5          4.6%
14              14              team            283                       20.2143                        10         36         5          3          4.6%
10              8               individual      308                       38.5000                        9          38         2          8          4.7%
12              10              individual      312                       31.2000                        35         12         8          3          4.7%
10              10              team            295                       29.5000                        18         30         3          7          4.8%
11              10              team            300                       30.0000                        8          41         3          5          4.9%
19              18              team            304                       16.8889                        49         0          8          5          4.9%
20              20              team            301                       15.0500                        49         0          7          3          4.9%
20              8               individual      301                       37.6250                        13         37         1          5          5.0%
14              12              team            297                       24.7500                        38         12         4          5          5.0%
19              8               team            297                       37.1250                        40         12         5          1          5.2%
16              10              team            307                       30.7000                        34         18         6          3          5.2%
13              12              team            309                       25.7500                        21         32         7          0          5.3%
15              10              team            309                       30.9000                        51         3          6          4          5.4%
17              6               individual      292                       48.6667                        43         14         5          1          5.7%
20              10              team            301                       30.1000                        22         35         5          2          5.7%
12              12              team            306                       25.5000                        37         20         2          6          5.7%
15              8               individual      316                       39.5000                        33         25         4          4          5.8%
11              8               individual      309                       38.6250                        42         16         2          6          5.8%
17              8               team            307                       38.3750                        4          54         2          5          5.8%
15              8               team            297                       37.1250                        46         13         7          1          5.9%
11              6               individual      300                       50.0000                        28         32         5          2          6.0%
8               8               individual      292                       36.5000                        13         47         7          2          6.0%
13              6               individual      294                       49.0000                        22         41         3          3          6.3%
16              8               individual      306                       38.2500                        31         32         4          4          6.3%
9               6               individual      297                       49.5000                        41         23         3          2          6.4%
14              8               team            305                       38.1250                        17         47         5          4          6.4%
19              8               individual      292                       36.5000                        12         53         4          4          6.5%
11              8               team            283                       35.3750                        31         35         4          6          6.6%
18              10              team            301                       30.1000                        10         56         1          6          6.6%
17              14              team            291                       20.7857                        0          66         0          7          6.6%
10              6               individual      309                       51.5000                        51         16         3          5          6.7%
19              6               individual      286                       47.6667                        35         33         4          3          6.8%
19              12              team            282                       23.5000                        54         14         4          7          6.8%
19              10              individual      290                       29.0000                        15         54         4          7          6.9%
16              6               team            294                       49.0000                        46         24         3          1          7.0%
15              6               individual      293                       48.8333                        28         42         4          3          7.0%
18              6               individual      292                       48.6667                        48         22         2          5          7.0%
15              12              team            285                       23.7500                        33         38         4          6          7.1%
15              6               team            278                       46.3333                        40         32         1          5          7.2%
9               8               individual      294                       36.7500                        51         21         5          2          7.2%
13              8               individual      283                       35.3750                        33         39         8          3          7.2%
12              8               team            294                       36.7500                        21         52         3          4          7.3%
7               6               individual      283                       47.1667                        35         39         5          2          7.4%
20              6               individual      300                       50.0000                        42         33         2          5          7.5%
13              8               team            275                       34.3750                        21         54         3          2          7.5%
8               6               individual      275                       45.8333                        49         28         1          4          7.7%
9               8               team            289                       36.1250                        27         50         5          2          7.7%
